First_Name Middle_Name,Family_Name,Category,Primary Affiliation,Secondary Affiliations,Researcher ID URL,RID
Eric S,Lander,Biology & Biochemistry,"Broad Inst Harvard & MIT, USA","Massachusetts Institute of Technology (MIT), USA; Harvard University, USA",,
Eric S,Lander,Clinical Medicine,"Broad Inst Harvard & MIT, USA","Massachusetts Institute of Technology (MIT), USA; Harvard University, USA",,
Eric S,Lander,Molecular Biology & Genetics,"Broad Inst Harvard & MIT, USA","Massachusetts Institute of Technology (MIT), USA; Harvard University, USA",,
Eric W,Sayers,Biology & Biochemistry,"NIH, USA",,,
Eric W,Wolff,Geosciences,"University of Cambridge, United Kingdom",,http://www.researcherid.com/rid/D-7925-2014,D-7925-2014
Erica J,Sodergren,Molecular Biology & Genetics,"Washington University in St. Louis, USA",,,
Erik,De Clercq,Pharmacology & Toxicology,"KU Leuven, Belgium","Rega Institute for Medical Research, Belgium",,
Erik,Trinkaus,"Social Sciences, general","Washington University in St. Louis, USA",,,
Erik L L,Sonnhammer,Biology & Biochemistry,"Stockholm University, Sweden",,,
Erik Magnus,Ohman,Clinical Medicine,"Duke University, USA",,,
Erika A,Lindquist,Plant & Animal Science,"US DOE Joint Genome Inst, USA",,,
Erkang,Wang,Chemistry,"Chinese Academy of Sciences, China",,,
Ermete,Antolini,Engineering,"Scuola Scienza Materiali, Italy",,,
Ernest,Weingartner,Geosciences,"Paul Scherrer Inst, Switzerland",,,
Ernesto R,Gonzalez,Engineering,"University of Sao Paulo, Brazil",,,
Ernst D,Gilles,Computer Science,"Max Planck Inst Dynam Complex Tech Syst, Germany",,,
Ernst-Detlef,Schulze,Environment/Ecology,"Max Planck Inst Biogeochem, Germany",,,
Estelle,Bettelli,Immunology,"University of Washington, USA",,,
Ester H,Rabbinowitsch,Microbiology,"University of Oxford, UK",,,
Esther,Duflo,Economics & Business,"Massachusetts Institute of Technology (MIT), USA",,,
Ethan M,Shevach,Immunology,"NIAID, USA",,,
Eugene,Braunwald,Clinical Medicine,"Brigham & Womens Hosp, USA",,,
Eugene,Kulesha,Biology & Biochemistry,"European Bioinformat Inst, UK",,,
Eugene,Yaschenko,Biology & Biochemistry,"NIH, USA",,,
Eugene A,Demler,Physics,"Harvard University, USA",,,
Eugene V,Koonin,Biology & Biochemistry,"NIH, USA",,,
Eugene V,Koonin,Microbiology,"NIH, USA",,,
Eva,Benkova,Plant & Animal Science,"IST Austria, Austria","Flanders Institute for Biotechnology, Belgium",,
Eva K,Grebel,Space Science,"University of Heidelberg, Germany",,,
Eva M,Falge,Agricultural Sciences,"Max Planck Inst Chem, Germany",,,
Evan,Ma,Materials Science,"The Johns Hopkins University, USA","Xian Jiao Tong University, China",,
Evan E,Eichler,Molecular Biology & Genetics,"University of Washington, USA",,,
Ewan,Birney,Biology & Biochemistry,"European Molecular Biology Laboratory/European Bioinformatics Institute/EMBL-EBI, UK","Wellcome Trust Sanger Institute, UK",,
Ewan,Birney,Molecular Biology & Genetics,"European Molecular Biology Laboratory/European Bioinformatics Institute/EMBL-EBI, UK","Wellcome Trust Sanger Institute, UK",,
F Dean,Toste,Chemistry,"University of California, Berkeley, USA",,,
F Stuart,Chapin,Environment/Ecology,"University of Alaska - Fairbanks, USA",,,
F Xavier,Bosch,Clinical Medicine,"Inst Catala Oncol IDIBELL, Spain",,,
F Xavier,Castellanos,Neuroscience & Behavior,"Nathan S Kline Inst Psychiat Res, USA","New York University, USA",,
Farnoush,Faridbod,Engineering,"University of Tehran, Iran","Tehran University of Medical Sciences, Iran",,
Federica,Sallusto,Immunology,"Inst Res Biomed, Switzerland",,,
Fedor,Jelezko,Physics,"University of Ulm, Germany",,,
Feng,Ding,Computer Science,"Jiangnan University, China",,,
Feng,Ding,Engineering,"Jiangnan University, China",,,
Feng,Wang,Physics,"University of California, Berkeley, USA",,,
Feng,Zhang,Neuroscience & Behavior,"Broad Inst Massachusetts Inst Technol MIT & Harva, USA","McGovern Inst Brain Res, USA; Massachusetts Institute of Technology (MIT), USA",,
Fengling,Zhang,Materials Science,"Linkoping University, Sweden",,,
Ferdi,Schuth,Materials Science,"Max Planck Inst Kohlenforsch, Germany",,,
Fereidoon,Shahidi,Agricultural Sciences,"Memorial University of Newfoundland (MUN), Canada",,http://www.researcherid.com/rid/A-6235-2013,A-6235-2013
Ferenc,Krausz,Physics,"University of Munich (50%), Germany","Max Planck Inst Quantum Opt (50%), Germany",,
Fiona,Cunningham,Biology & Biochemistry,"European Bioinformat Inst, UK",,,
Fiona S L,Brinkman,Computer Science,"Simon Fraser University, Canada",,,
Florencio,Lopez-De-Silanes,Economics & Business,"EDHEC Business School, France",,,
Forest,Rohwer,Microbiology,"San Diego State University, USA",,,
Francesco,D'Errico,"Social Sciences, general","University of Bordeaux, France","University of Bergen, Norway",,
Francesco M,Veronese,Pharmacology & Toxicology,"University of Padua, Italy",,,
Francis R,Bach,Computer Science,"INRIA, France","Ecole Normale Superieure - Paris, France",,
Francis S,Collins,Molecular Biology & Genetics,"NIH, USA",,,
Francis X,Diebold,Economics & Business,"University of Pennsylvania, USA",,,
Francisco,Guinea,Physics,"CSIC Consejo Superior de Investigaciones Cientificas, Spain",,http://www.researcherid.com/rid/A-7122-2008,A-7122-2008
Francisco,Herrera,Computer Science,"University of Granada, Spain","King Abdulaziz University, Saudi Arabia",,
Francisco,Herrera,Engineering,"University of Granada, Spain","King Abdulaziz University, Saudi Arabia",,
Francisco A,Tomas-Barberan,Agricultural Sciences,"CSIC, Spain",,,
Francisco J,Garcia-Vidal,Physics,"Universidad Autonoma de Madrid (UAM), Spain",,http://www.researcherid.com/rid/B-8280-2011,B-8280-2011
Francois,Guilhot,Clinical Medicine,"University of Poitiers, France",,,
Francois,Hamel,Mathematics,"Aix Marseille University, France",,,
Frank,Caruso,Materials Science,"University of Melbourne, Australia",,,
Frank,Glorius,Chemistry,"University of Muenster, Germany",,,
Frank,Van Breusegem,Plant & Animal Science,"Ghent University, Belgium","Flanders Institute for Biotechnology, Belgium",,
Frank,Wuerthner,Chemistry,"University of Wuerzburg, Germany",,,
Frank B,Hu,Agricultural Sciences,"Harvard University, USA","King Abdulaziz University, Saudi Arabia",,
Frank B,Hu,Clinical Medicine,"Harvard University, USA","King Abdulaziz University, Saudi Arabia",,
Frank B,Hu,Molecular Biology & Genetics,"Harvard University, USA","King Abdulaziz University, Saudi Arabia",,
Frank D,Kolodgie,Clinical Medicine,"CVPath Inst, USA",,,
Frank J,Dentener,Geosciences,"Commiss European Communities, Italy",,,
Frank M,LaFerla,Neuroscience & Behavior,"University of California, Irvine, USA",,,
Frank T,Rothaermel,Economics & Business,"Georgia Institute of Technology, USA",,,
Frank W,Geels,Economics & Business,"University of Manchester, United Kingdom","King Abdulaziz University KAU, Saudi Arabia",http://www.researcherid.com/rid/B-5771-2012,B-5771-2012
Franklin G,Miller,"Social Sciences, general","NIH, USA",,,
Frans,Van De Werf,Clinical Medicine,"KU Leuven, Belgium",,,
Fred H,Gage,Neuroscience & Behavior,"Salk Inst Biol Studies, USA",,,
Frede,Blaabjerg,Engineering,"Aalborg University, Denmark",,http://www.researcherid.com/rid/A-5008-2008,A-5008-2008
Frederic,Parrenin,Geosciences,"Centre National de la Recherche Scientifique (CNRS), France","Universite Joseph Fourier - Grenoble I, France",http://www.researcherid.com/rid/H-3054-2014,H-3054-2014
Frederick M,Ausubel,Plant & Animal Science,"Harvard University, USA","Massachusetts Gen Hosp, USA",,
Frederick S,Stinson,Psychiatry/Psychology,"NIAAA, USA",,,
Frederik,Barkhof,Neuroscience & Behavior,"VU University Amsterdam, Netherlands",,,
Frederik C,Krebs,Materials Science,"Technical University of Denmark, Denmark",,,
Fu-Guo,Deng,Physics,"Beijing Normal University, China",,,
Fulya,Oztas,"Social Sciences, general","Selcuk University, Turkey",,,
Furio,Brighenti,Agricultural Sciences,"University of Parma, Italy",,http://www.researcherid.com/rid/E-4174-2010,E-4174-2010
Fu-You,Li,Chemistry,"Fudan University, China",,,
Fu-Yuan,Wu,Geosciences,"Chinese Academy of Sciences, China",,,
Fyodor D,Urnov,Biology & Biochemistry,"Sangamo BioSci Inc, USA",,,
G Bragi,Walters,Molecular Biology & Genetics,"deCODE Genet, Iceland",,,
G David,Tilman,Environment/Ecology,"University of Minnesota, Twin Cities, USA",,,
G F,Hinshaw,Space Science,"University of British Columbia, Canada",,,
G Q,Chen,Mathematics,"Peking University, China","King Abdulaziz University, Saudi Arabia",,
Gabor A,Somorjai,Chemistry,"University of California, Berkeley, USA",,,
Gabriel,Nunez,Immunology,"University of Michigan - Ann Arbor, USA",,,
Gabriel A,Vecchi,Geosciences,"NOAA, USA",,,
Gabriel N,Hortobagyi,Clinical Medicine,"The University of Texas M. D. Anderson Cancer Center, USA",,,
Gabriele C,Hegerl,Geosciences,"The University of Edinburgh, UK",,,
Gad,Getz,Clinical Medicine,"Broad Inst MIT & Harvard, USA",,,
Gajendra Pal Singh,Raghava,Computer Science,"Institute of Microbial Technology, India",,http://www.researcherid.com/rid/B-1717-2009,B-1717-2009
Galen D,Stucky,Materials Science,"University of California, Santa Barbara, USA",,,
Galt P,Barber,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Gang,Li,Materials Science,"University of California - Los Angeles (UCLA), United States",,http://www.researcherid.com/rid/A-5667-2012,A-5667-2012
Gao Qing (Max),Lu,Chemistry,"The University of Queensland, Australia",,http://www.researcherid.com/rid/A-2859-2008,A-2859-2008
Gao Qing (Max),Lu,Materials Science,"The University of Queensland, Australia",,http://www.researcherid.com/rid/A-2859-2008,A-2859-2008
Gareth O,Roberts,Mathematics,"University of Warwick, UK",,,
Garnet L,Anderson,Clinical Medicine,"Fred Hutchinson Canc Res Ctr, USA",,,
Gary,King,"Social Sciences, general","Harvard University, USA",,,
Gary,Marks,"Social Sciences, general","VU University Amsterdam, Netherlands","University of North Carolina at Chapel Hill, USA",,
Gary,Williamson,Agricultural Sciences,"University of Leeds, UK",,,
Gary D,Bader,Biology & Biochemistry,"University of Toronto, Canada","Mount Sinai Hospital, Toronto, Canada",http://www.researcherid.com/rid/C-1176-2009,C-1176-2009
Gary D,Bader,Computer Science,"University of Toronto, Canada",,,
Gary D,Stormo,Computer Science,"Washington University in St. Louis, USA",,,
Gary H,Glover,Neuroscience & Behavior,"Stanford University, USA",,,
Gary J,Nabel,Microbiology,"NIAID, USA",,,
Gary R,Beecher,Agricultural Sciences,"USDA, USA",,,
Gary S,Sachs,Psychiatry/Psychology,"Harvard University, USA",,,
Gavin A,Schmidt,Geosciences,"NASA Goddard Institute for Space Studies, United States",,http://www.researcherid.com/rid/D-4427-2012,D-4427-2012
Gen-Fu,Chen,Physics,"Renmin University of China, China",,,
Geoffrey,Burnstock,Pharmacology & Toxicology,"University College London, UK",,,
Georg,Kresse,Physics,"University of Vienna, Austria","Ctr Computat Mat Sci, Austria",,
George,Christou,Chemistry,"University of Florida (UF), Gainesville, United States","King Abdulaziz University, Jeddah, Saudi Arabia, Saudi Arabia",http://www.researcherid.com/rid/A-3072-2014,
George,Coupland,Plant & Animal Science,"Max Planck Institute for Plant Breeding Research, Germany",,,
George,Kunos,Pharmacology & Toxicology,"NIAAA, USA",,,
George,Loewenstein,Economics & Business,"Carnegie Mellon University, USA",,,
George A,Jacoby,Microbiology,"Lahey Hosp & Med Ctr, USA",,,
George Adrian,Calin,Clinical Medicine,"The University of Texas M. D. Anderson Cancer Center, USA",,,
George Andrew,Karolyi,Economics & Business,"Cornell University, USA",,,
George C,Schatz,Chemistry,"Northwestern University, USA",,,
George D,Demetri,Clinical Medicine,"Dana Farber Canc Inst, USA","Harvard University, USA",,
George Davey,Smith,Clinical Medicine,"University of Bristol, UK",,,
George Davey,Smith,"Social Sciences, general","University of Bristol, UK",,,
George H,Rieke,Space Science,"University of Arizona, USA",,,
George L,Bakris,Clinical Medicine,"University of Chicago, USA",,,
George M,Church,Biology & Biochemistry,"Harvard University, USA",,,
George M,Shaw,Microbiology,"University of Pennsylvania, USA",,,
George M,Weinstock,Molecular Biology & Genetics,"The Jackson Laboratory for Genomic Medicine, USA",,,
George M,Whitesides,Chemistry,"Harvard University, USA",,,
George Q,Daley,Biology & Biochemistry,"Childrens Hosp, USA","Harvard University, USA",,
George Q,Daley,Clinical Medicine,"Childrens Hosp, USA","Harvard University, USA",,
Georgina M,Mace,Environment/Ecology,"University College London, UK",,,
Georgios B,Giannakis,Computer Science,"University of Minnesota, Twin Cities, USA",,,
Georgios B,Giannakis,Engineering,"University of Minnesota, Twin Cities, USA",,,
Gerald,Simonneau,Clinical Medicine,"Ctr Chirurg Marie Lannelongue, France","Hop Bicetre, France; University of Paris Sud (Paris 11), France",,
Gerald A,Meehl,Geosciences,"Natl Ctr Atmospher Res, USA",,,
Gerald F,Riley,"Social Sciences, general","Ctr Medicaid Serv, USA",,,
Gerard,Ferey,Chemistry,"University of Versailles, France","French Academy of Sciences, France",,
Gerardo,Heiss,Clinical Medicine,"University of North Carolina at Chapel Hill, USA",,,
Gerhard,Kramer,Computer Science,"Technische Universitaet Muenchen (TUM), Germany",,http://www.researcherid.com/rid/M-4270-2014,M-4270-2014
Gerhard A,Holzapfel,Engineering,"Graz University of Technology, Austria",,,
Gert,Storm,Pharmacology & Toxicology,"Utrecht University, Netherlands",,,
Gert,Van Assche,Clinical Medicine,"KU Leuven, Belgium","University of Toronto, Canada",,
Giacomo,Rizzolatti,Neuroscience & Behavior,"Italian Inst Technol, Italy","University of Parma, Italy",,
Gianni,Tognoni,Clinical Medicine,"Consorzio Mario Negri Sud, Italy",,,
Gilad J,Kuperman,"Social Sciences, general","Columbia University, USA",,,
Giles E D,Oldroyd,Plant & Animal Science,"John Innes Ctr, UK",,,
Gill,Harvey,"Social Sciences, general","University of Adelaide, Australia",,http://www.researcherid.com/rid/J-9646-2014,J-9646-2014
Gilles,Montalescot,Clinical Medicine,"CHU Pitie Salpetriere, France",,,
Gillian R,Knapp,Space Science,"Princeton University, USA",,,
Giovanni,Pitari,Geosciences,"University of Aquila, Italy",,,
Gisbert,Schneider,Pharmacology & Toxicology,"Swiss Federal Institute of Technology Zurich, Switzerland",,,
Michael R,Kearney,Environment/Ecology,"University of Melbourne, Australia",,,
Michael R,Nolta,Space Science,"University of Toronto, Canada",,,
Michael R,Stratton,Clinical Medicine,"Wellcome Trust Sanger Inst, UK",,,
Michael R,Stratton,Molecular Biology & Genetics,"Wellcome Trust Sanger Inst, UK",,,
Michael S,Seaman,Microbiology,"Harvard University, USA",,,
Michael S,Strano,Chemistry,"Massachusetts Institute of Technology (MIT), USA",,,
Michael T,Meyer,Environment/Ecology,"US Geol Survey, USA",,,
Michael W,Weiner,Neuroscience & Behavior,"University of California, San Francisco, USA",,,
Michael W N,Deininger,Clinical Medicine,"University of Utah, USA",,,
Michal,Lipson,Physics,"Cornell University, USA",,,
Michal,Tendera,Clinical Medicine,"Medical University of Silesia, Poland",,,
Michel,Bouvier,Pharmacology & Toxicology,"Université de Montréal, UdeM, Canada",,http://www.researcherid.com/rid/H-2758-2014,H-2758-2014
Michel,Komajda,Clinical Medicine,"Hop La Pitie Salpetriere, France","Pierre and Marie Curie University - Paris 6, France",,
Michel,Loreau,Environment/Ecology,"CNRS, France",,,
Michel C,Nussenzweig,Immunology,"Rockefeller University, USA",,,
Michel H R,Haissaguerre,Clinical Medicine,"University of Bordeaux, France",,,
Michele,Baccarani,Clinical Medicine,"University of Bologna, Italy",,,
Michele,Limon,Space Science,"Columbia University, USA","Princeton University, USA; University of Pennsylvania, USA",,
Michele,Magrane,Biology & Biochemistry,"European Bioinformat Inst, UK",,,
Michele,Vendruscolo,Biology & Biochemistry,"University of Cambridge, UK",,,
Michelle M,Doty,"Social Sciences, general","Knowledge Network, USA",,,
Michiel R,Van Den Broeke,Geosciences,"Utrecht University (UU), Netherlands",,http://www.researcherid.com/rid/F-7867-2011,F-7867-2011
Miguel,Yus,Chemistry,"University of Alicante, Spain",,,
Miguel B,Araujo,Environment/Ecology,"CSIC, Consejo Superior de Investigaciones Cientificas, Spain",,http://www.researcherid.com/rid/B-6117-2008,B-6117-2008
Mihaela,Pertea,Microbiology,"The Johns Hopkins University, USA",,,
Mihai,Pop,Microbiology,"University of Maryland, College Park, USA",,,
Mike,Jenkin,Geosciences,"Atmospher Chem Serv, UK","University of Bristol, UK",,
Mike W,Peng,Economics & Business,"The University of Texas at Dallas, USA",,,
Mikhail D,Lukin,Physics,"Harvard University, USA",,,
Mikhail I,Katsnelson,Physics,"Radboud University Nijmegen, Netherlands",,http://www.researcherid.com/rid/D-4359-2012,D-4359-2012
Miki,Fujita,Plant & Animal Science,"RIKEN, Japan",,http://www.researcherid.com/rid/H-3351-2014,H-3351-2014
Mikkel,Jorgensen,Materials Science,"Technical University of Denmark, Denmark",,,
Mikko,Niemi,Pharmacology & Toxicology,"University of Helsinki, Finland","King Abdulaziz University, Saudi Arabia",,
Mildred S,Dresselhaus,Chemistry,"Massachusetts Institute of Technology (MIT), USA",,,
Min,Sun,Geosciences,"The University of Hong Kong, Hong Kong, China",,,
Min,Wu,Engineering,"Central South University, China",,,
Mingwei,Chen,Materials Science,"Tohoku University, Japan","Shanghai Jiao Tong University, China",,
Minoru,Kanehisa,Biology & Biochemistry,"Kyoto University, Japan",,,
Miqin,Zhang,Materials Science,"University of Washington, USA",,,
Miqin,Zhang,Pharmacology & Toxicology,"University of Washington, USA",,,
Mircea,Dinca,Chemistry,"Massachusetts Institute of Technology (MIT), USA",,,
Mitch,Dowsett,Clinical Medicine,"Royal Marsden Hosp, UK",,,
Mitchell A,Petersen,Economics & Business,"Northwestern University, USA",,,
Mitsutoshi,Yoneyama,Immunology,"Chiba University, Japan",,,
Miyako,Ueguchi-Tanaka,Plant & Animal Science,"Nagoya University, Japan",,http://www.researcherid.com/rid/I-6213-2014,I-6213-2014
Moe Z,Win,Computer Science,"Massachusetts Institute of Technology (MIT), USA",,,
Mohamed,Eddaoudi,Chemistry,"King Abdullah University of Science and Technology, Saudi Arabia","University of South Florida, USA",,
Mohamed,Oukka,Immunology,"Seattle Childrens Res Inst, USA","University of Washington, USA",,
Mohammad Khaja,Nazeeruddin,Chemistry,"EPFL, Switzerland","King Abdulaziz University  KAU, Jeddah, Saudi Arabia, Saudi Arabia",http://www.researcherid.com/rid/B-1323-2008,B-1323-2008
Mohammad Reza,Ganjali,Engineering,"University of Tehran, Iran",,,
Monique M B,Breteler,Clinical Medicine,"German Center for Neurodegenerative Diseases (DZNE), Germany","University of Bonn, Germany; Harvard University, USA",,
Montserrat,Vila,Environment/Ecology,"Estn Biol Donana EBD CSIC, Spain",,,
Morgan,Sheng,Neuroscience & Behavior,"Genentech Inc, USA",,,
Morley D,Hollenberg,Pharmacology & Toxicology,"The University of Calgary, Canada",,,
Morten,Nielsen,Computer Science,"Technical University of Denmark, Denmark","Universidad Nacional de San Martin, Argentina",,
Moschos G,Polissiou,Agricultural Sciences,"Agricultural University of Athens, Greece",,,
Mostafa A,El-Sayed,Chemistry,"Georgia Institute of Technology, USA","King Abdulaziz University, Saudi Arabia",,
Motoaki,Seki,Plant & Animal Science,"RIKEN, Japan","Yokohama City University, Japan",http://www.researcherid.com/rid/I-2854-2012,I-2854-2012
Mouffak,Benchohra,Mathematics,"University of Sidi Bel Abbes, Algeria","King Abdulaziz University (Distinguished Adjunct Professor), Saudi Arabia",http://www.researcherid.com/rid/B-5618-2014,B-5618-2014
Moungi G,Bawendi,Chemistry,"Massachusetts Institute of Technology (MIT), USA",,,
Muhammed Fatih,Demirbas,"Social Sciences, general","Sila Sci, Turkey",,,
Muriel,Medard,Computer Science,"Massachusetts Institute of Technology (MIT), USA",,,
Murray B,Stein,Psychiatry/Psychology,"University of California, San Diego, USA",,,
Mustafa,Balat,Engineering,"Sila Sci & Energy Unltd Co, Turkey",,,
Mustafa,Soylak,Engineering,"Erciyes University, Turkey",,,
Mustafa,Tuzen,Engineering,"Gaziosmanpasa University, Turkey",,,
Myles R,Allen,Geosciences,"Smith Sch Enterprise & Environm, UK","University of Oxford, UK",,
Nader,Rifai,Clinical Medicine,"Boston Children's Hospital, United States","King Abdulaziz  University, Saudi Arabia",http://www.researcherid.com/rid/B-4376-2013,B-4376-2013
Iain,McCulloch,Materials Science,"Imperial College London, UK",,,
Iain Colin,Prentice,Environment/Ecology,"Imperial College London, UK","Macquarie University, Australia",,
Iain M,Johnstone,Mathematics,"Stanford University, USA",,,
Ian,Ford,Clinical Medicine,"The University of Glasgow, UK",,,
Ian,Janssen,"Social Sciences, general","Queen's University, Canada",,,
Ian,Joughin,Geosciences,"University of Washington, USA",,,
Ian,Longden,Biology & Biochemistry,"European Bioinformat Inst, UK",,,
Ian A,Wilson,Microbiology,"Scripps Res Inst, USA",,,
Ian D,Small,Plant & Animal Science,"The University of Western Australia, Australia",,,
Ian F,Akyildiz,Computer Science,"Georgia Institute of Technology, USA","King Abdulaziz University, Saudi Arabia",,
Ian J,Wright,Environment/Ecology,"Macquarie University, Australia",,,
Ian R,Fisher,Physics,"Stanford University, USA",,,
Ian R,Rowland,Agricultural Sciences,"The University of Reading, UK",,,
Ian R,Smail,Space Science,"Durham University, UK, United Kingdom",,http://www.researcherid.com/rid/M-5161-2013,M-5161-2013
Ian R A,Mackenzie,Neuroscience & Behavior,"University of British Columbia, Canada","Vancouver Gen Hosp, Canada",,
Ian T,Foster,Computer Science,"University of Chicago, USA","Argonne National Laboratory, USA",,
Ian T,Paulsen,Microbiology,"Macquarie University, Australia",,,
Ian Thomas,Baldwin,Plant & Animal Science,"Max Planck Inst Chem Ecol, Germany",,,
Ibrahim,Dincer,Engineering,"UOIT-University Ontario Institute of Technology, Canada","Visiting-Chair Professor at KFUPM-King Fahd University of Petroleum and Minerals, Saudi Arabia",http://www.researcherid.com/rid/A-5379-2012,
Ick Chan,Kwon,Pharmacology & Toxicology,"Korea Institue of Science & Technology, South Korea","Korea University, South Korea",,
Idit,Zehavi,Space Science,"Case Western Reserve University, USA",,,
Idun,Reiten,Mathematics,"Norwegian University of Science and Technology, Norway",,,
Ignacio E,Grossmann,Computer Science,"Carnegie Mellon University, USA",,,
Igor,Jurisica,Computer Science,"Ontario Canc Inst, Canada","University Health Network, Canada; University of Toronto, Canada",,
Igor I,Mazin,Physics,"Naval Res Lab, USA",,,
Igor V,Grigoriev,Biology & Biochemistry,"US DOE Joint Genome Institute , USA",,,
Igor V,Grigoriev,Plant & Animal Science,"US DOE Joint Genome Institute , USA",,,
Ilene,Karsch-Mizrachi,Biology & Biochemistry,"NIH, USA",,,
Ilhami,Gulcin,Agricultural Sciences,"King Saud University, Saudi Arabia",,,
Immanuel,Bloch,Physics,"University of Munich, Germany","Max Planck Inst Quantum Opt, Germany",,
Inderbir S,Gill,Clinical Medicine,"University of Southern California, USA",,,
Ines,Barroso,Molecular Biology & Genetics,"University of Cambridge, UK","Wellcome Trust Sanger Inst, UK",,
Inga,Prokopenko,Molecular Biology & Genetics,"Imperial College London, UK",,,
Ingolf,Kuhn,Environment/Ecology,"Helmholtz Centre for Environmental Research - UFZ, Germany","Martin-Luther-Universität Halle-Wittenberg (MLU), Germany",http://www.researcherid.com/rid/B-9756-2009,B-9756-2009
Ingrid,Daubechies,Mathematics,"Duke University, USA",,,
Ingrid Marie,Ulbrich,Geosciences,"University of Colorado at Boulder, USA",,,
Irfan,Rahman,Pharmacology & Toxicology,"University of Rochester, USA",,,
Irving L,Weissman,Clinical Medicine,"Stanford University, USA",,,
Isaac M,Held,Geosciences,"NOAA, USA",,,
Isaac S,Kohane,Computer Science,"Harvard University, USA",,,
Ishak,Hashim,Mathematics,"Universiti Kebangsaaan Malaysia, UKM",,http://www.researcherid.com/rid/P-4863-2014,P-4863-2014
Ismael,Rafols,"Social Sciences, general","Polytechnic University of Valencia , Spain","University of Sussex, UK",,
Istvan,Simon,Computer Science,"Institute of Enzymology, RCNH, Hungarian Academy of Sciences, Hungary",,http://www.researcherid.com/rid/A-2868-2008,A-2868-2008
Istvan N,Csabai,Space Science,"Eotvos Lorand University, Hungary",,,
Itamar,Willner,Chemistry,"The Hebrew University of Jerusalem, Israel",,,
Ivan,Marusic,Engineering,"University of Melbourne, Australia",,,
Ivan K,Baldry,Space Science,"Liverpool John Moores University, UK",,,
Ivica,Letunic,Biology & Biochemistry,"biobyte solutions GmbH, Germany",,http://www.researcherid.com/rid/A-6032-2009,A-6032-2009
J Allyn,Smith,Space Science,"Austin Peay State University, USA",,,
J Austin,Cottrell,Computer Science,"Citigroup Inc USA, USA",,,
J C (Seamus),Davis,Physics,"Cornell University, USA","Brookhaven Natl Lab, USA; University of St Andrews, UK",,
J David,Sweatt,Neuroscience & Behavior,"The University of Alabama at Birmingham, USA",,,
J Emmett,Duffy,Environment/Ecology,"The College of William and Mary, USA",,,
J Fraser,Stoddart,Chemistry,"Northwestern University, USA","Korea Advanced Institute of Science and Technology, South Korea",,
J John,Mann,Psychiatry/Psychology,"Columbia University, USA",,,
J Justin,Gooding,Engineering,"University of New South Wales, Australia",,,
J Michael,Cherry,Biology & Biochemistry,"Stanford University, USA",,,
J Michael,Gaziano,Clinical Medicine,"Boston Vet Affairs Healthcare Syst, USA","Brigham & Womens Hosp, USA",,
J William,Costerton,Microbiology,USA,,,
Jaakko,Kangasjarvi,Plant & Animal Science,"University of Helsinki, Finland","King Saud University ( KSU), College of  Science, Saudi Arabia",http://www.researcherid.com/rid/A-3024-2015,A-3024-2015
Jaakko,Tuomilehto,Clinical Medicine,"Danube University Krems, Austria","King Abdulaziz University, Saudi Arabia",,
Jaakko,Tuomilehto,Molecular Biology & Genetics,"Danube University Krems, Austria","King Abdulaziz University, Saudi Arabia",,
Jaap S Sinninghe,Damste,Geosciences,"NIOZ Royal Netherlands Institute for Sea Research, Netherlands","Utrecht University, Netherlands",http://www.researcherid.com/rid/F-6128-2011,F-6128-2011
Jack,Cuzick,Clinical Medicine,"Queen Mary, U. of London, UK",,,
Jack M,Guralnik,"Social Sciences, general","University of Maryland, Baltimore, USA",,,
Jacky W Y,Lam,Chemistry,"The Hong Kong University of Science and Technology, Hong Kong, China",,,
Jacqueline,Kerr,"Social Sciences, general","University of California, San Diego, USA",,,
Jacqueline C M,Witteman,Clinical Medicine,"Erasmus MC, Netherlands",,,
Jacques,Banchereau,Immunology,"Baylor University, USA","Icahn School of Medicine at Mount Sinai, USA",,
Jakob,Schwander,Geosciences,"University of Bern, Switzerland",,,
James,Lam,Engineering,"The University of Hong Kong, Hong Kong, China",,,
James,Moody,"Social Sciences, general","Duke University, United States","King Abdulaziz University  KAU, Saudi Arabia",http://www.researcherid.com/rid/E-2888-2014,E-2888-2014
James,Ostell,Biology & Biochemistry,"NIH, USA",,,
James,Smith,Biology & Biochemistry,"Wellcome Trust Sanger Inst, UK",,,
James A,Dumesic,Chemistry,"University of Wisconsin - Madison, USA",,,
James A,Robinson,Economics & Business,"Harvard University, USA",,,
James A,Thomson,Clinical Medicine,"Morgridge Inst Res, USA","University of California, Santa Barbara, USA; University of Wisconsin - Madison, USA",,
James B,Meigs,Clinical Medicine,"Harvard University, USA","Massachusetts Gen Hosp, USA",,
James C,Carrington,Plant & Animal Science,"Oregon State University, USA","Donald Danforth Plant Sci Ctr, USA",,
James C,Mullikin,Molecular Biology & Genetics,"NHGRI, USA",,,
James C,Yang,Clinical Medicine,"NCI, USA",,,
James C,Zachos,Geosciences,"University of California, Santa Cruz, USA",,,
James E,Chapman,"Social Sciences, general","Urban Design 4 Health, Inc.",,,
James E,Gunn,Space Science,"Princeton University, USA",,,
James E,Hansen,Geosciences,"Columbia University, USA","NASA, USA",,
James E,Klaunig,Pharmacology & Toxicology,"Indiana University-Purdue University at Indianapolis, USA","Indiana University Bloomington, USA",,
James F,Kolonay,Microbiology,"US FDA, USA",,,
